Category,Question,Round
Bible Knowledge,"The prophet Daniel had a vision of four beasts, what did the second beast look like? Ans: Bear",1
Biology,"Scientists use the Latin binomial system to give name to organisms such as Melicocus Bijugatus. The second part of the Latin name is the species, what is the first part? Ans: Genus",1
English Language,What are the object pronouns in this sentence: He did not hear me when I called to him? Ans: me and him,1
Local and International Affairs,Who is the PM of Albania? Ans: Edi Rama,1
Chemistry,Name the most stable radioisotope of carbon. Ans: Carbon-14,1
Music,Which Jamaican Reggae artist did the single I swear? Ans: Chuck Fender,1
General Knowledge,What is the more common name for the fixed multibracketed devices used in orthodontics to align the human teeth? Ans: Braces,1
Spanish,How much is doscientos millones? Ans: 200 million,1
Geography,"What is the name of the volcano which started errupting in July, 1995 in Montserrat, sending out ash which blanketed the then capital Plymouth? Ans: Soufriere Hills Volcano",1
Theatre and Cinema,Courtney Cox,1
Information Technology,"EFTPOS is used regularly when people shop at stores, what does EFTPOS stand for? Ans: Electronic FundsTransfer at Point of Sales",1
History,The treaty of Tordesillas in 1494 confirmed the divisions made by which Pope to share the New world between Spain and Portugal? Ans: Pope Alexander VI,1
Mathematics,Expand fully: (a+b)(c+d). Ans: ad+ac+bc+bd,1
Physics,Approximately how much work is done when a mass of 3kg is lifted vertically through 6m? Ans: 180J,1
Sports,Florent Manaudou (French Olympic Swimming Champion),1
Jamaican Heritage,"Time Magazine voted this album the album of the century, name it. Ans: Exodus",1
French,Give the English translation for: la veille de noï¿½l. Ans: Christmas eve,1
Literature,"Which West Indian wrote the 1960 collection of essays ""The Pleasures of Exile""? Ans: George Lamming",1
Bible Knowledge,"Who said ""Is there any taste in the white of an egg""? Ans: Job",1
Biology,Give a word beginning with 'm' which means the process by which food is ground or chewed. Ans: Mastication,1
English Language,Spell CHAUVINIST,1
Local and International Affairs,Who is the PM of Belarus? Ans: Alexander Turchin,1
Chemistry,HCOOH is the chemical formula for which substance? Ans: Formic or Methanoic acid,1
Music,Queen Ifrica (Lioness on the rise),1
General Knowledge,"If the time in Beijing, China is 11PM, what time will it be in Kingston Jamaica? Ans: 10:00AM",1
Spanish,What does llegar sano y salvo mean? Ans: To arrive safe and sound,1
Geography,In which Caribbean country are the Anandale falls? Ans: Grenada,1
Theatre and Cinema,Lisa Kudrow,1
Information Technology,The world's first Personal computer the MITS Altair was put on sale in what year? Ans: 1974,1
History,Which two reigning Monarchs visited Jamaica in 1966? Ans: Haile Selasse and Queen Elizabeth II,1
Mathematics,"An electric motor makes 3000 revolutions per minute, how many degrees does it rotate in one second? Ans: 18000 degrees",1
Physics,What is the SI unit of viscosity? Ans: Kgm-1s-1 or Pascal Second,1
Sports,Roger Federer,1
Jamaican Heritage,Complete the Jamaican proverb: wa gaan bad a mawningï¿½Ans: caan cum gud a evening,1
French,Translate to English: les actes de Dieu Ans: Acts of God,1
Literature,Which Jamaican wrote under the name Eli Edwards? Ans: Claude McKay,1
Art,Which Jamaican artist completed the collection of paintings called the Pan-Africanists? Ans: Barrington Watson,1
Bible Knowledge,How many Poetry Books make up the Old Testament? Ans: 5,1
Biology,"Other than oxygen and Nitrogen, name three elements found in proteins. Ans: Carbon, Phosphorus, Sulfur, Hydrogen",1
English Language,Form a noun from Humble. Ans: Humility,1
Bible Knowledge,Who was the father of Enoch? Ans: Jared,1
Biology,Secretin is the name of the hormone produced by the lining of which part of the small intestines? Ans: Duodenum,1
English Language,Spell INQUISITIVE,1
Local and International Affairs,Who is the PM of Cameroon? Ans: Joseph Ngute,1
Chemistry,The fusable metal alloy solder is made from which metals? Ans: Lead and Tin,1
Music,Terry Linen (When you want it the most ),1
General Knowledge,Who is the President of Afghanistan? Ans: Ashraf Ghani,1
Spanish,Give the English translation for: Hablar no un poco. Ans: Speak a little (Talk to me a little),1
Geography,"To the nearest million kilometers, approximately how many kilometers away from the sun is the planet mercury? Ans: 58 million ",1
Theatre and Cinema,Mike Myers,1
Information Technology,"A monitor contains a matrix of luminescent dots of RGB, which are blended to display millions of colours. What does RGB stand for? Ans: Red, Green and Blue",1
History,The Belfast Peace Agreement signed between Britain and Northern Ireland in 1998 is also known by what other name? Ans: Good Friday Agreement or Belfast Agreement,1
Mathematics,What is the LCM of 18 and 24? Ans: 72,1
Physics,"In 1902, the Physicist Oliver Heaviside and Arthur Kennelly predicted the existence of what? Ans: Ionosphere",1
Sports,Cï¿½sar Cielo (Brazilian International Swimmer),1
Jamaican Heritage,Who was Prime Minister of Jamaica between 1967 and 1972? Ans: Hugh Shearer,1
French,What is the English translation for: je vais acheter une voiture? Ans: I am going to buy a car,1
Literature,"Who wrote ""The true blue of Islands""? Ans: Pamela Mordecai",1
Art,"Who painted a number of works on the theme Red, Black and White? Ans: Terry Frost",1
Bible Knowledge,"Who said these words ""As soon as the sound of your greetings reached my ears, the baby in my womb leaped for Joy""? Ans: Elizabeth",1
Biology,What is the name of the transparent biconvex in the eye? Ans: lens,1
English Language,"Give a seven letter adjective starting with 'r', which is the opposite in meaning of quiet, soft or subdued. Ans: Raucous",1
Local and International Affairs,Who is the President of Chile? Ans: Gabriel Boric,1
Chemistry,Oic is the suffix used to indicate what functional group? Ans: Carboxylic acids,1
Music,Wayne Marshall (Say she love ma style and ma profile),1
General Knowledge,What is the name of the largest and busiest Airport in Haiti? Ans: Toussaint Louverture International Airport,1
Spanish,What is the English translation for: relï¿½mpagos y truenos? Ans: Thunder and lightning,1
Geography,"Using the four cardinal points, what is the general direction of Buenos Aires from Monte Video? Ans: West",1
Theatre and Cinema,Will Farrell,1
Information Technology,By what is the Processor's power measured? Ans: Clock speed,1
History,The Argentine Marxist revolutionary and Guerilla leader Che Guevara was killed in which country? Ans: Bolivia,1
Mathematics,"What is the gradient of a line which passes through the points (0,-8) and (2,4)? Ans: 6",1
Physics,A total mass of tablets in a pill bottle is 0.65kg. How many tablets are there if each tablet has a mass of 2mg? Ans: 325 tablets,1
Sports,Mack Horton (Australian Swimmer),1
Jamaican Heritage,The Seafort Town German settlement is located in which Jamaican parish? Ans: Westmoreland,1
French, What is the English translation for the question: Comment ï¿½pelez-vous le mot mari?? Ans: How do you spell the word husband? ,1
Bible Knowledge,"Who wrote "" A little leaven leaveneth the whole lump""? Ans: Paul (Galations 5:9)",1
Biology,"In the human body, what are the tiniest blood vessels called? Ans: Capillaries",1
English Language,What six letter word starting with 'd' refers to an energetic or busy person? Ans: Dynamo,1
Local and International Affairs,Who is the PM of Bulgaria? Ans: Rosen Zhelyazkov,1
Chemistry,What is the chemical name for sugar of lead? Ans: Lead acetate,1
Music,Shabba Ranks (Remedy),1
General Knowledge,Bovine Spongiform Encephalopathy is the scientific name for which disease? Ans: Madcow Disease,1
Spanish,What is the English translation for sï¿½lo los dos de nosotros? Ans: Just the two of us,1
Geography,What type of clouds are thunderheads rising to great heights accompanied by thunder and lightning? Ans: Cumulonimbus,1
Theatre and Cinema,Zach Galifianakis,1
Information Technology,"API is a set of routines, protocols and tools for building software Applications. What does the P in API stand for? Ans: Programme",1
History,In what year was Fulencio Batista first elected president of Cuba? Ans: 1940,1
Mathematics,What is the result when 10 % of 20 is subtracted from 20 % of 30? Ans: 4,1
Physics,The formula: F=ma represents whose law? Ans: Newton's second law of motion,1
Sports,Matheus Santana (Brazilian swimmer),1
Jamaican Heritage,"This fruit is a large sea pod of the West Indian locust, with the scientific name Hymenaea courbaril. Name it. Ans: Stinking toe",1
French,What does the phrase: ï¿½a ne fait rien mean? Ans: Never mind (it doesn't matter),1
Literature,"Complete the name of this long poem written by Ame Cesaire ""Return to myï¿½Ans: Native land",1
Art,"Who painted ""The Fighting Temeraire""? Ans: J.M.W. Turner",1
Bible Knowledge,Which Old Testament King saw moving fingers writing on the Wall? Ans: Belshazzar,1
Biology,"Which sub-Phylum includes the class with the largest group of anthropods, the insects? Ans: hexapoda",1
English Language,What is the collective noun for a group of arrows? Ans: sheath or quiver,1
Local and International Affairs,Who is the PM of Armenia? Ans: Nikol Pashinyan,1
Chemistry,"When green copper carbonate is heated, to what colour does it change? Ans: Black",1
Music,Gimme likkle one drop (Taurus Riley),1
General Knowledge,Who is the first American woman to receive the Nobel Peace Prize? Ans: Jane Adams,1
Spanish,what is the English translation for: Fui a la iglesia el domingo pasado? Ans: I went to the church last Sunday,1
Geography,The South China Sea is part of which Ocean? Ans: Pacific Ocean,1
Theatre and Cinema,Matthew Broderick,1
Information Technology,Fortran was one of the first high level languages used to express mathematical formulae and scientific problems. What does Fortran stand for? Ans: Formula Translation,1
History,Juan de Esquivel led the Spanish expedition of Conquistadors to Jamaica in what year? Ans: 1509,1
Mathematics,A class of 52 has 13 girls. What percentage are boys? Ans: 75%,1
Physics,"In the Electromagnetic spectrum, what does FIR stand for? Ans: Far InfraRed",1
Sports,Paul Biedermann (German Swimmer),1
Jamaican Heritage,What is the highest rank in the JDF coast guard? Ans: Rear Admiral,1
Bible Knowledge,In which of the Psalms does David Plead: Create in me a clean Heart O God and renew a right spirit within me? Ans: Psalm 51,1
Biology,The process of capillarity allows for water to rise in which vessels of a leaf? Ans: xylem,1
English Language,"According to the proverb, what will eventually happen to a fool and his money? Ans: They shall soon be parted",1
Local and International Affairs,Who is the President of China? Ans: Xi Jinping,1
Chemistry,What is another name for methanal? Ans: Formaldehyde,1
Music,Miley Cyrus (Wrecking ball),1
General Knowledge,Luftwaffe is the name given to which country's airforce? Ans: Germany,1
Spanish,What is the English equivalent of: el dia pasado maï¿½ana? Ans: The day after tomorrow,1
